Assay,Taxon,Amp,Genus
CMCP_1,Barbus callensis,0.788,Barbus
CMCP_3,Luciobarbus leptopogon,0.788,Luciobarbus
CMCP_1,Barbus biscarensis,0.691,Barbus
CMCP_3,Luciobarbus biscarensis,0.691,Luciobarbus
CMCP_1,Barbus brachycephalus,0.658,Barbus
CMCP_1,Barbus capito,0.658,Barbus
CMCP_3,Luciobarbus brachycephalus,0.658,Luciobarbus
CMCP_3,Luciobarbus capito,0.658,Luciobarbus
CMCP_1,Capoeta kosswigi,0.656,Capoeta
CMCP_1,Barbus pallaryi,0.635,Barbus
CMCP_1,Barbus longiceps,0.634,Barbus
CMCP_1,Capoeta barroisi,0.625,Capoeta
CMCP_1,Capoeta erhani,0.625,Capoeta
CMCP_1,Capoeta trutta,0.625,Capoeta
CMCP_1,Capoeta turani,0.625,Capoeta
CMCP_3,Luciobarbus guercifensis,0.625,Luciobarbus
CMCP_1,Barbus comiza,0.601,Barbus
CMCP_1,Barbus comizo,0.601,Barbus
CMCP_1,Barbus steindachneri,0.601,Barbus
CMCP_1,Barbus steindachnerii,0.601,Barbus
CMCP_3,Luciobarbus comizo,0.601,Luciobarbus
CMCP_1,Capoeta sieboldii,0.59,Capoeta
CMCP_1,Barbus albanicus,0.571,Barbus
CMCP_3,Luciobarbus pallaryi,0.567,Luciobarbus
CMCP_3,Luciobarbus rifensis,0.555,Luciobarbus
CMCP_1,Barbus apoensis,0.549,Barbus
CMCP_1,Barbus nasus,0.545,Barbus
CMCP_3,Luciobarbus yahyaouii,0.545,Luciobarbus
CMCP_3,Luciobarbus zayanensis,0.545,Luciobarbus
CMCP_1,Barbus xanthopterus,0.538,Barbus
CMCP_3,Luciobarbus barbulus,0.538,Luciobarbus
CMCP_supplement,Barbonymus gonionotus,0.538,Barbonymus
CMCP_1,Carassioides acuminatus,0.525,Carassioides
CMCP_1,Capoeta angorae,0.521,Capoeta
CMCP_1,Capoeta buhsei,0.521,Capoeta
CMCP_1,Capoeta caelestis,0.521,Capoeta
CMCP_1,Capoeta capoeta,0.521,Capoeta
CMCP_1,Capoeta coadi,0.521,Capoeta
CMCP_1,Capoeta ferdowsii,0.521,Capoeta
CMCP_supplement,Capoeta damascina,0.521,Capoeta
CMCP_1,Barbus meridionalis,0.511,Barbus
CMCP_1,Barbus graecus,0.489,Barbus
CMCP_1,Barbus pectoralis,0.489,Barbus
CMCP_1,Capoeta mandica,0.489,Capoeta
CMCP_3,Luciobarbus kottelati,0.489,Luciobarbus
CMCP_1,Barbus barbus,0.464,Barbus
CMCP_3,Luciocyprinus langsoni,0.461,Luciocyprinus
CMCP_1,Barbus balcanicus,0.448,Barbus
CMCP_1,Barbus carpathicus,0.448,Barbus
CMCP_1,Barbus esocinus,0.448,Barbus
CMCP_1,Barbus magniatlantis,0.448,Barbus
CMCP_1,Barbus petenyi,0.448,Barbus
CMCP_1,Barbus setivimensis,0.448,Barbus
CMCP_1,Capoeta aydinensis,0.448,Capoeta
CMCP_3,Luciobarbus maghrebensis,0.448,Luciobarbus
CMCP_3,Luciobarbus magniatlantis,0.448,Luciobarbus
CMCP_3,Luciobarbus nasus,0.448,Luciobarbus
CMCP_1,Barbus trispilos,0.441,Barbus
CMCP_1,Albulichthys albuloides,0.433,Albulichthys
CMCP_1,Barbus bocagei,0.427,Barbus
CMCP_3,Luciobarbus bocagei,0.427,Luciobarbus
CMCP_1,Barbodes schwanenfeldii,0.418,Barbodes
CMCP_1,Barbonymus altus,0.418,Barbonymus
CMCP_1,Capoeta pyragyi,0.417,Capoeta
CMCP_1,Capoeta shajariani,0.417,Capoeta
CMCP_1,Acrossocheilus yunnanensis,0.41,Acrossocheilus
CMCP_1,Bangana devdevi,0.402,Bangana
CMCP_1,Barbus strumicae,0.402,Barbus
CMCP_1,Capoeta fusca,0.401,Capoeta
CMCP_1,Barbus nyanzae,0.387,Barbus
CMCP_3,Lobocheilos melanotaenia,0.381,Lobocheilos
CMCP_1,Capoeta bergamae,0.38,Capoeta
CMCP_1,Capoeta_sp.,0.375,Capoeta_sp.
CMCP_5,Cyprinion macrostomum,0.375,Cyprinion
CMCP_1,Barbus borysthenicus,0.369,Barbus
CMCP_1,Barbus oligolepis,0.369,Barbus
CMCP_1,Capoeta aculeata,0.369,Capoeta
CMCP_1,Capoeta gracilis,0.369,Capoeta
CMCP_5,Spinibarbus caldwelli,0.358,Spinibarbus
CMCP_5,Spinibarbus denticulatus,0.358,Spinibarbus
CMCP_supplement,Rasbora einthovenii,0.352,Rasbora
CMCP_3,Onychostoma barbatum,0.347,Onychostoma
CMCP_3,Onychostoma fangi,0.347,Onychostoma
CMCP_1,Anematichthys repasson,0.343,Anematichthys
CMCP_1,Chondrostoma knerii,0.343,Chondrostoma
CMCP_1,Crossocheilus nigriloba,0.342,Crossocheilus
CMCP_1,Barbus prionacanthus,0.341,Barbus
CMCP_3,Onychostoma ovale,0.34,Onychostoma
CMCP_1,Barbus kubanicus,0.334,Barbus
CMCP_supplement,Dawkinsia denisonii,0.333,Dawkinsia
CMCP_1,Aulopyge huegelii,0.332,Aulopyge
CMCP_1,Barboides britzi,0.332,Barboides
CMCP_1,Barboides gracilis,0.332,Barboides
CMCP_1,Chondrostoma ceyhanensis,0.332,Chondrostoma
CMCP_1,Chondrostoma kinzelbachi,0.332,Chondrostoma
CMCP_1,Chondrostoma nasus,0.332,Chondrostoma
CMCP_1,Acrossocheilus hemispinus,0.331,Acrossocheilus
CMCP_1,Barbodes lateristriga,0.33,Barbodes
CMCP_1,Capoeta razii,0.33,Capoeta
CMCP_5,Striuntius lineatus,0.33,Striuntius
CMCP_1,Barbus subquincunciatus,0.328,Barbus
CMCP_1,Barbus castrasibutum,0.327,Barbus
CMCP_1,Chondrostoma angorense,0.327,Chondrostoma
CMCP_1,Chondrostoma beysehirense,0.327,Chondrostoma
CMCP_1,Chondrostoma cyri,0.327,Chondrostoma
CMCP_1,Chondrostoma oxyrhynchum,0.327,Chondrostoma
CMCP_1,Chondrostoma prespense,0.327,Chondrostoma
CMCP_1,Chondrostoma prespensis,0.327,Chondrostoma
CMCP_1,Chondrostoma vardarense,0.325,Chondrostoma
CMCP_1,Acrossocheilus longipinnis,0.324,Acrossocheilus
CMCP_1,Cirrhinus cirrhosus,0.323,Cirrhinus
CMCP_1,Cirrhinus microlepis,0.323,Cirrhinus
CMCP_supplement,Cirrhinus mrigala,0.323,Cirrhinus
CMCP_3,Labiobarbus ocellatus,0.321,Labiobarbus
CMCP_1,Barbus jae,0.319,Barbus
CMCP_supplement,Gobiobotia filifer,0.317,Gobiobotia
CMCP_1,Barbus ciscaucasicus,0.315,Barbus
CMCP_1,Barbus tauricus,0.315,Barbus
CMCP_1,Chondrostoma vardarensis,0.315,Chondrostoma
CMCP_3,Percocypris pingi,0.312,Percocypris
CMCP_3,Onychostoma macrolepis,0.306,Onychostoma
CMCP_3,Onychostoma virgulatum,0.306,Onychostoma
CMCP_1,Crossocheilus langei,0.305,Crossocheilus
CMCP_1,Achondrostoma salmantinum,0.303,Achondrostoma
CMCP_1,Barbus sublineatus,0.302,Barbus
CMCP_3,Oliotius oligolepis,0.302,Oliotius
CMCP_1,Chondrostoma phoxinus,0.299,Chondrostoma
CMCP_1,Chondrostoma toros,0.295,Chondrostoma
CMCP_1,Acrossocheilus wuyiensis,0.294,Acrossocheilus
CMCP_1,Chondrostoma holmwoodii,0.294,Chondrostoma
CMCP_3,Luciobarbus graellsii,0.291,Luciobarbus
CMCP_1,Barbus biharicus,0.289,Barbus
CMCP_1,Crossocheilus diplochilus,0.289,Crossocheilus
CMCP_5,Telestes pleurobipunctatus,0.289,Telestes
CMCP_supplement,Schizothorax lissolabiata,0.285,Schizothorax
CMCP_supplement,Schizothorax dolichonema,0.285,Schizothorax
CMCP_1,Chondrostoma arrigonis,0.284,Chondrostoma
CMCP_1,Chondrostoma toxostoma,0.284,Chondrostoma
CMCP_3,Parachondrostoma arrigonis,0.284,Parachondrostoma
CMCP_3,Luciobarbus rabatensis,0.283,Luciobarbus
CMCP_3,Luciosoma setigerum,0.281,Luciosoma
CMCP_1,Barbus holotaenia,0.28,Barbus
CMCP_5,Xenocypris fangi,0.28,Xenocypris
CMCP_1,Anematichthys apogon,0.279,Anematichthys
CMCP_1,Chondrostoma meandrense,0.279,Chondrostoma
CMCP_1,Barbus cyclolepis,0.278,Barbus
CMCP_5,Tor malabaricus,0.277,Tor
CMCP_3,Luciobarbus mursa,0.276,Luciobarbus
CMCP_1,Barbus miolepis,0.273,Barbus
CMCP_supplement,Tariqilabeo latius,0.273,Tariqilabeo
CMCP_1,Bangana dero,0.27,Bangana
CMCP_3,Onychostoma elongatum,0.269,Onychostoma
CMCP_1,Chondrostoma miegii,0.267,Chondrostoma
CMCP_3,Parachondrostoma miegii,0.267,Parachondrostoma
CMCP_1,Aspiorhynchus laticeps,0.266,Aspiorhynchus
CMCP_1,Capoeta mauricii,0.264,Capoeta
CMCP_1,Carassius langsdorfii,0.264,Carassius
CMCP_1,Acrossocheilus iridescens,0.263,Acrossocheilus
CMCP_1,Alburnoides eichwaldi,0.263,Alburnoides
CMCP_1,Alburnoides ohridanus,0.262,Alburnoides
CMCP_1,Alburnoides prespensis,0.262,Alburnoides
CMCP_1,Acrossocheilus parallens,0.261,Acrossocheilus
CMCP_3,Onychostoma angustistomata,0.261,Onychostoma
CMCP_1,Abramis sapa,0.26,Abramis
CMCP_1,Acrossocheilus paradoxus,0.26,Acrossocheilus
CMCP_1,Alburnoides devolli,0.259,Alburnoides
CMCP_3,Osteochilus schlegelii,0.258,Osteochilus
CMCP_3,Pethia nigrofasciata,0.256,Pethia
CMCP_5,Telestes miloradi,0.255,Telestes
CMCP_3,Mystacoleucus ectypus,0.254,Mystacoleucus
CMCP_3,Luciocyprinus striolatus,0.253,Luciocyprinus
CMCP_1,Barbus haasi,0.252,Barbus
CMCP_1,Barbus sclateri,0.252,Barbus
CMCP_3,Luciobarbus sclateri,0.252,Luciobarbus
CMCP_3,Microphysogobio koreensis,0.252,Microphysogobio
CMCP_1,Alburnoides bipunctatus,0.251,Alburnoides
CMCP_1,Capoeta banarescui,0.251,Capoeta
CMCP_3,Osteochilichthys thomassi,0.251,Osteochilichthys
CMCP_1,Chondrostoma occidentale,0.25,Chondrostoma
CMCP_5,Tor sinensis,0.249,Tor
CMCP_supplement,Ptychobarbus dipogon,0.249,Ptychobarbus
CMCP_1,Barbus fasciolatus,0.248,Barbus
CMCP_3,Luciobarbus callensis,0.248,Luciobarbus
CMCP_5,Carassius gibelio,0.247,Carassius
CMCP_3,Pethia stoliczkana,0.246,Pethia
CMCP_5,Squalidus multimaculatus,0.246,Squalidus
CMCP_supplement,Puntius ticto,0.246,Puntius
CMCP_1,Barbus mattozi,0.245,Barbus
CMCP_5,Telestes beoticus,0.245,Telestes
CMCP_1,Alburnoides maculatus,0.244,Alburnoides
CMCP_1,Altigena wui,0.244,Altigena
CMCP_1,Bangana rendahli,0.244,Bangana
CMCP_supplement,Dawkinsia tambraparniei,0.244,Dawkinsia
CMCP_3,Mystacoleucus atridorsalis,0.243,Mystacoleucus
CMCP_3,Mystacoleucus lepturus,0.243,Mystacoleucus
CMCP_3,Luciobarbus setivimensis,0.242,Luciobarbus
CMCP_3,Onychostoma barbatulum,0.242,Onychostoma
CMCP_3,Osteobrama feae,0.242,Osteobrama
CMCP_1,Barbodes carnaticus,0.241,Barbodes
CMCP_3,Leuciscus peloponnensis,0.241,Leuciscus
CMCP_1,Amblyrhynchichthys truncatus,0.239,Amblyrhynchichthys
CMCP_3,Phoxinellus pseudalepidotus,0.239,Phoxinellus
CMCP_1,Acanthobrama mirabilis,0.238,Acanthobrama
CMCP_1,Cosmochilus cardinalis,0.238,Cosmochilus
CMCP_1,Cosmochilus harmandi,0.238,Cosmochilus
CMCP_5,Vimba mirabilis,0.238,Vimba
CMCP_5,Spinibarbus sinensis,0.237,Spinibarbus
CMCP_3,Oreinus meridionalis,0.236,Oreinus
CMCP_3,Oreinus rotundimaxillaris,0.236,Oreinus
CMCP_3,Osteochilus waandersii,0.236,Osteochilus
CMCP_supplement,Systomus sarana,0.236,Systomus
CMCP_1,Alburnoides kosswigi,0.235,Alburnoides
CMCP_1,Chondrostoma duriense,0.235,Chondrostoma
CMCP_1,Chondrostoma willkommii,0.235,Chondrostoma
CMCP_3,Osteochilus microcephalus,0.235,Osteochilus
CMCP_5,Spinibarbus hollandi,0.235,Spinibarbus
CMCP_1,Alburnoides eichwaldii,0.234,Alburnoides
CMCP_1,Chagunius nicholsi,0.234,Chagunius
CMCP_1,Barbichthys laevis,0.233,Barbichthys
CMCP_1,Crossocheilus atrilimes,0.233,Crossocheilus
CMCP_1,Abramis bjoerkna,0.232,Abramis
CMCP_1,Abramis brama,0.232,Abramis
CMCP_1,Acrossocheilus spinifer,0.232,Acrossocheilus
CMCP_1,Alburnoides brama,0.232,Alburnoides
CMCP_1,Barbus bigornei,0.232,Barbus
CMCP_1,Barbus euboicus,0.232,Barbus
CMCP_5,Tincatinca,0.232,Tincatinca
CMCP_5,Vimba vimba,0.232,Vimba
CMCP_5,Garra lorestanensis,0.231,Garra
CMCP_3,Leuciscus peloponnesis,0.231,Leuciscus
CMCP_3,Notropis nazas,0.231,Notropis
CMCP_3,Onychostoma minnanense,0.231,Onychostoma
CMCP_5,Squalius cii,0.231,Squalius
CMCP_5,Squalius moreoticus,0.231,Squalius
CMCP_5,Squalius peloponensis,0.231,Squalius
CMCP_5,Squalius squalus,0.231,Squalius
CMCP_1,Abramis ballerus,0.23,Abramis
CMCP_1,Alburnus heckeli,0.23,Alburnus
CMCP_1,Alburnus mossulensis,0.23,Alburnus
CMCP_1,Alburnus sellal,0.23,Alburnus
CMCP_1,Ballerus ballerus,0.23,Ballerus
CMCP_5,Blicca bjoerkna,0.23,Blicca
CMCP_1,Chalcalburnus mossulensis,0.23,Chalcalburnus
CMCP_3,Notropis ammophilus,0.23,Notropis
CMCP_5,Squalius lepidus,0.23,Squalius
CMCP_1,Acheilognathus yamatsutae,0.228,Acheilognathus
CMCP_1,Achondrostoma oligolepis,0.228,Achondrostoma
CMCP_1,Barbus anoplus,0.228,Barbus
CMCP_1,Chondrostoma macrolepidotus,0.228,Chondrostoma
CMCP_3,Leuciscus turskyi,0.228,Leuciscus
CMCP_3,Osteochilus salsburyi,0.228,Osteochilus
CMCP_5,Squalius tenellus,0.228,Squalius
CMCP_5,Telestes turskyi,0.228,Telestes
CMCP_supplement,Mylocheilus caurinus,0.228,Mylocheilus
CMCP_5,Squalidus atromaculatus,0.227,Squalidus
CMCP_5,Tor yingjiangensis,0.227,Tor
CMCP_3,Neolissochilus stracheyi,0.226,Neolissochilus
CMCP_3,Onychostoma krongnoensis,0.226,Onychostoma
CMCP_supplement,Raiamas steindachneri,0.226,Raiamas
CMCP_1,Chrosomus oreas,0.224,Chrosomus
CMCP_5,Systomus asoka,0.224,Systomus
CMCP_1,Barbodes wynaadensis,0.223,Barbodes
CMCP_1,Crossocheilus reticulatus,0.223,Crossocheilus
CMCP_3,Lythrurus roseipinnis,0.223,Lythrurus
CMCP_3,Osteochilus nashii,0.223,Osteochilus
CMCP_5,Squalius laietanus,0.222,Squalius
CMCP_1,Chelaethiops bibie,0.221,Chelaethiops
CMCP_1,Chondrostoma genei,0.221,Chondrostoma
CMCP_3,Notropis hudsonius,0.221,Notropis
CMCP_1,Acheilognathus intermedia,0.22,Acheilognathus
CMCP_5,Tanakia lanceolata,0.22,Tanakia
CMCP_1,Barbus wurtzi,0.219,Barbus
CMCP_3,Phoxinellus metohiensis,0.219,Phoxinellus
CMCP_5,Telestes dabar,0.219,Telestes
CMCP_5,Telestes metohiensis,0.219,Telestes
CMCP_5,Vimba elongata,0.218,Vimba
CMCP_1,Barbodes heterostomus,0.217,Barbodes
CMCP_3,Neolissochilus hendersoni,0.217,Neolissochilus
CMCP_3,Neolissochilus soroides,0.217,Neolissochilus
CMCP_3,Pethia padamya,0.217,Pethia
CMCP_5,Tor duronensis,0.217,Tor
CMCP_5,Tor khudree,0.217,Tor
CMCP_1,Chondrostoma lusitanicum,0.216,Chondrostoma
CMCP_3,Notropis calientis,0.216,Notropis
CMCP_5,Vimba melanops,0.216,Vimba
CMCP_1,Acrossocheilus fasciatus,0.215,Acrossocheilus
CMCP_3,Microphysogobio chenhsienensis,0.215,Microphysogobio
CMCP_3,Onychostoma gerlachi,0.215,Onychostoma
CMCP_3,Onychostoma simum,0.215,Onychostoma
CMCP_3,Phoxinellus alepidotus,0.215,Phoxinellus
CMCP_1,Chondrostoma turiensis,0.214,Chondrostoma
CMCP_3,Parachondrostoma turiense,0.214,Parachondrostoma
CMCP_3,Pelasgus laconicus,0.214,Pelasgus
CMCP_3,Pethia lutea,0.214,Pethia
CMCP_1,Cirrhinus molitorella,0.213,Cirrhinus
CMCP_1,Alburnus demiri,0.212,Alburnus
CMCP_3,Phoxinellus croaticus,0.212,Phoxinellus
CMCP_1,Acheilognathus meridianus,0.211,Acheilognathus
CMCP_1,Alburnoides thessalicus,0.21,Alburnoides
CMCP_1,Alburnus thessalicus,0.21,Alburnus
CMCP_3,Notropis amecae,0.21,Notropis
CMCP_3,Onychostoma alticorpus,0.21,Onychostoma
CMCP_1,Acrossocheilus beijiangensis,0.209,Acrossocheilus
CMCP_1,Alburnoides strymonicus,0.209,Alburnoides
CMCP_5,Alburnus chalcoides,0.209,Alburnus
CMCP_1,Barbus wynaadensis,0.209,Barbus
CMCP_1,Megalobrama amblycephala x Megalobrama terminalis x Megalobrama amblycephala x Megalobrama terminalis,0.209,Megalobrama
CMCP_3,Neolissochilus baoshanensis,0.209,Neolissochilus
CMCP_3,Oreinus dulongensis,0.209,Oreinus
CMCP_3,Oreinus molesworthi,0.209,Oreinus
CMCP_3,Oreinus myzostomus,0.209,Oreinus
CMCP_3,Phreatichthys andruzzii,0.209,Phreatichthys
CMCP_5,Systomus orphoides,0.209,Systomus
CMCP_5,Triploid Megalobrama,0.209,Triploid
CMCP_5,Scardinius erythrophthalmus,0.209,Scardinius
CMCP_1,Alburnus filippi,0.208,Alburnus
CMCP_supplement,Leptobarbus hoevenii,0.208,Leptobarbus
CMCP_1,Altigena yunnanensis,0.207,Altigena
CMCP_1,Anaecypris hispanica,0.207,Anaecypris
CMCP_1,Barbus fritschii,0.207,Barbus
CMCP_1,Carasobarbus fritschii,0.207,Carasobarbus
CMCP_1,Chondrostoma lemmingii,0.207,Chondrostoma
CMCP_1,Iberochondrostoma lemmingii,0.207,Iberochondrostoma
CMCP_3,Phoxinellus krbavensis,0.207,Phoxinellus
CMCP_3,Phoxinus phoxinus,0.207,Phoxinus
CMCP_5,Squalius cephalus,0.207,Squalius
CMCP_5,Squalius orpheus,0.207,Squalius
CMCP_5,Squalius prespensis,0.207,Squalius
CMCP_1,Acheilognathus imberbis,0.206,Acheilognathus
CMCP_3,Leuciscus borysthenicus,0.206,Leuciscus
CMCP_3,Notropis edwardraneyi,0.206,Notropis
CMCP_3,Petroleuciscus borysthenicus,0.206,Petroleuciscus
CMCP_1,Acanthobrama terraesanctae,0.205,Acanthobrama
CMCP_3,Leuciscus zrmanjae,0.205,Leuciscus
CMCP_3,Notropis chalybaeus,0.205,Notropis
CMCP_3,Phoxinus steindachneri,0.205,Phoxinus
CMCP_5,Squalius svallize,0.205,Squalius
CMCP_5,Squalius zrmanjae,0.205,Squalius
CMCP_supplement,Amblypharyngodon mola,0.205,Amblypharyngodon
CMCP_1,Acrossocheilus monticola,0.204,Acrossocheilus
CMCP_1,Arabibarbus hadhrami,0.204,Arabibarbus
CMCP_3,Macrhybopsis storeriana,0.204,Macrhybopsis
CMCP_3,Phoxinus oreas,0.204,Phoxinus
CMCP_1,Anabarilius polylepis,0.203,Anabarilius
CMCP_1,Chondrostoma polylepis,0.203,Chondrostoma
CMCP_3,Labeobarbus longidorsalis,0.203,Labeobarbus
CMCP_3,Labeobarbus mawambiensis,0.203,Labeobarbus
CMCP_3,Notropis moralesi,0.203,Notropis
CMCP_3,Pelasgus epiroticus,0.203,Pelasgus
CMCP_5,Varicorhinus mariae,0.203,Varicorhinus
CMCP_5,Varicorhinus sandersi,0.203,Varicorhinus
CMCP_5,Varicorhinus steindachneri,0.203,Varicorhinus
CMCP_1,Acanthobrama persidis,0.202,Acanthobrama
CMCP_1,Aspiolucius esocinus,0.202,Aspiolucius
CMCP_3,Opsarius bakeri,0.202,Opsarius
CMCP_3,Petroleuciscus persidis,0.202,Petroleuciscus
CMCP_1,Capoeta tinca,0.201,Capoeta
CMCP_3,Lythrurus lirus,0.201,Lythrurus
CMCP_1,Acheilognathus omeiensis,0.2,Acheilognathus
CMCP_1,Caecobarbus geertsii,0.2,Caecobarbus
CMCP_3,Labeo yunnanensis,0.2,Labeo
CMCP_3,Leuciscus lucumonis,0.2,Leuciscus
CMCP_5,Squalius lucumonis,0.2,Squalius
CMCP_5,Squalius microlepis,0.2,Squalius
CMCP_1,Barbus prespensis,0.199,Barbus
CMCP_1,Barbus rebeli,0.199,Barbus
CMCP_3,Notropis baileyi,0.199,Notropis
CMCP_5,Acheilognathus signifer,0.198,Acheilognathus
CMCP_1,Barbus guiraonis,0.198,Barbus
CMCP_1,Barbus microcephalus,0.198,Barbus
CMCP_3,Leuciscus waleckii,0.198,Leuciscus
CMCP_3,Luciobarbus microcephalus,0.198,Luciobarbus
CMCP_3,Lythrurus bellus,0.198,Lythrurus
CMCP_3,Macrochirichthys macrochirus,0.198,Macrochirichthys
CMCP_3,Mesobola brevianalis,0.198,Mesobola
CMCP_3,Notropis asperifrons,0.198,Notropis
